Haastattelussa 1;Haastattelussa 2;Haastattelussa 3;Haastattelussa 4;Haastattelussa 5;Category;Subcategory;Code;Se-;gm-;en-;ts ;;;;;;;;;;;;;;;;;;;;;
5;0;0;0;0;Maataloustuotanto;Sato;Laatuerien tunnistaminen;1.28;1.43;1.44;1.45;1.46;;;;;;;;;;;;;;;;;;;;
1;2;0;0;1;Maataloustuotanto;Sato;SadonlisÌ_;1.23;2.26;2.33;5.11;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;Maataloustuotanto;Talous;Investointien laskentaan ei ole tietoa;1.19;;;;;;;;;;;;;;;;;;;;;;;;
2;5;1;3;2;Maataloustuotanto;Talous;Kannattavuus;1.19;1.48;2.20;2.26;2.29;2.34;2.36;3.43;4.8;4.19;4.22;5.1;5.14;;;;;;;;;;;;
3;1;1;0;0;Maataloustuotanto;Talous;Perustellut investoinnit;1.29;1.30;1.35;2.34;3.43;;;;;;;;;;;;;;;;;;;;
0;0;0;0;1;Maataloustuotanto;Tehostaminen;Koneiden kÌ_yttÌ¦;5.12;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;1;Maataloustuotanto;Tehostaminen;Logistiikka;5.12;;;;;;;;;;;;;;;;;;;;;;;;
0;2;0;1;0;Maataloustuotanto;Tehostaminen;Maatilan toiminnassa yleisesti;2.1;2.46;4.2;;;;;;;;;;;;;;;;;;;;;;
2;2;0;0;1;Maataloustuotanto;Tehostaminen;Resurssien kÌ_yttÌ¦ panokset lannoitteet jne.;1.10;1.33;2.16;2.27;5.14;;;;;;;;;;;;;;;;;;;;
1;1;0;0;4;Maataloustuotanto;Tehostaminen;TyÌ¦n helpottaminen;1.11;2.11;5.2;5.3;5.12;5.14;;;;;;;;;;;;;;;;;;;
2;5;2;2;5;Maataloustuotanto;Tehostaminen;Viljelyprosessien (tuotanto-) optimointi/automatisointi;1.11;1.33;2.16;2.20;2.26;2.27;2.33;3.35;3.41;4.3;4.20;5.1;5.4;5.12;5.14;5.16;;;;;;;;;
3;8;1;1;5;Maataloustuotanto;TietojenkÌ_sittely;PÌ_Ì_tÌ¦ksentekon avustaminen;1.24;1.48;1.49;2.1;2.2;2.3;2.17;2.18;2.20;2.31;2.33;3.19;4.3;5.1;5.2;5.3;5.4;5.12;;;;;;;
1;8;0;0;1;Maataloustuotanto;TietojenkÌ_sittely;Viljelysuositukset;1.20;2.2;2.3;2.4;2.18;2.19;2.20;2.29;2.31;5.2;;;;;;;;;;;;;;;
1;0;0;1;0;Maataloustuotanto;TuotantojÌ_rjestelmÌ_t;Automaattinen/automatisoitu viljelyyn vaikuttaminen;1.20;4.3;;;;;;;;;;;;;;;;;;;;;;;
1;7;1;4;3;Maataloustuotanto;TuotantojÌ_rjestelmÌ_t;JÌ_rjestelmÌ_integraatio;1.25;2.5;2.6;2.7;2.8;2.9;2.13;2.31;2;43;3.8;4.1;4.3;4.20;4.27;5.5;5.9;5.18;;;;;;;
3;0;0;0;0;Maataloustuotanto;Tuotantoketju;Tuotantoketjun Verkostoitumisalusta myyntiin ja ostoihin;1.18;1.27;1.28;;;;;;;;;;;;;;;;;;;;;;
0;3;0;1;0;Maataloustuotanto;Tuotantopanokset;Lannoitepanokset;2.18;2.22;2.32;4.28;;;;;;;;;;;;;;;;;;;;;
4;2;1;2;1;Maataloustuotanto;Tuotantopanokset;Lannoitus Ravinteet SyÌ¦tteet;1.10;1.27;1.33;1.43;2.22;2.27;3.12;4.28;4.29;5.11;;;;;;;;;;;;;;;
0;3;0;1;0;Maataloustuotanto;Tuotantopanokset;Tuotantopanokset yleensÌ_;2.18;2.22;2.32;4.28;;;;;;;;;;;;;;;;;;;;;
1;0;0;1;1;Maataloustuotanto;Tuotantotapatieto;Kuluttajien ymmÌ_rryshaaste;1.43;4.13;5.11;;;;;;;;;;;;;;;;;;;;;;
3;0;0;0;0;Maataloustuotanto;Tuotantotapatieto;LisÌ_arvo maatalouden tuotteelle;1.17;1.28;1.33;;;;;;;;;;;;;;;;;;;;;;
4;0;3;3;1;Maataloustuotanto;Tuotantotapatieto;Tuotantotapatieto yleensÌ_;1.17;1.33;1.42;1.43;3.2;3.18;3.19;4.13;4.14;4.15;5.11;;;;;;;;;;;;;;
1;0;0;1;1;Maataloustuotanto;Tuotantotavat;Smart Farming;1.43;4.13;5.11;;;;;;;;;;;;;;;;;;;;;;
6;2;1;0;1;Maataloustuotanto;Tuotantotavat;TÌ_smÌ_viljely;1.7;1.10;1.12;1.33;1.34;1.35;2.15;2.38;3.43;5.9;;;;;;;;;;;;;;;
0;0;0;2;0;Maataloustuotanto;Tuotantotavat;Urbaaniviljely;4.28;4.29;;;;;;;;;;;;;;;;;;;;;;;
2;3;0;0;0;Maataloustuotanto;TyÌ¦;Urakointi;1.11;1.12;2.37;2.38;2.46;;;;;;;;;;;;;;;;;;;;
1;3;1;1;0;Tekniikka;Alustaratkaisut;Datan julkaisu ja jakaminen;1.16;2.6;2.41;2.42;3.17;4.12;;;;;;;;;;;;;;;;;;;
2;1;0;2;0;Tekniikka;Alustaratkaisut;Tiedon vaihdanta;1.16;1.30;2.41;4.12;4.26;;;;;;;;;;;;;;;;;;;;
3;0;0;0;0;Tekniikka;Alustaratkaisut;ViljelijÌ¦iden Verkostoitumisalusta myyntiin ja ostoihin;1.18;1.27;1.28;;;;;;;;;;;;;;;;;;;;;;
3;0;0;0;0;Tekniikka;Alustaratkaisut;ViljelijÌ¦iden ja kuluttajien yhteydet;1.42;1.43;1.45;;;;;;;;;;;;;;;;;;;;;;
1;0;0;1;1;Tekniikka;Alustaratkaisut;ViljelijÌ¦iden sosiaalinen verkostoituminen;1.16;4.26;5.1;;;;;;;;;;;;;;;;;;;;;;
1;0;1;0;0;Tekniikka;LaitejÌ_rjestelmÌ_t;Automaattiset huoltokutsut ja huollon yhteys laitteisiin verkon yli;1.4;3.21;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;Tekniikka;LaitejÌ_rjestelmÌ_t;EtÌ_tuki;1.4;;;;;;;;;;;;;;;;;;;;;;;;
4;0;0;1;0;Tekniikka;LaitejÌ_rjestelmÌ_t;Full-liner-tuote/jÌ_rjestelmÌ_;1.7;1.8;1.11;1.15;4.6;;;;;;;;;;;;;;;;;;;;
3;0;0;2;0;Tekniikka;LaitejÌ_rjestelmÌ_t;Kasvihuoneautomaatio;1.3;1.4;1.36;4.17;4.19;;;;;;;;;;;;;;;;;;;;
1;0;0;1;0;Tekniikka;LaitejÌ_rjestelmÌ_t;Kasvitehtaat Monikerrosviljely;1.4;4.17;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;1;0;Tekniikka;LaitejÌ_rjestelmÌ_t;KonttiviljelmÌ_t;4.18;;;;;;;;;;;;;;;;;;;;;;;;
5;0;0;1;0;Tekniikka;Standardi;Avoimet;1.14;1.15;1.26;1.30;1.32;4.7;;;;;;;;;;;;;;;;;;;
2;0;8;2;3;Tekniikka;Standardi;ISOBUS;1.9;1.31;3.4;3.7;3.8;3.10;3.44;3.45;3.46;3.48;4.5;4.7;5.5;5.9;5.10;;;;;;;;;;
4;1;2;0;0;Tekniikka;Standardi;Muut;1.13;1.14;1.31;1.32;2.44;3.4;3.5;;;;;;;;;;;;;;;;;;
1;1;5;0;2;Tekniikka;Teknologia;Aidot IoT-jÌ_rjestelmÌ_t laitteet;1.20;2.11;3.20;3.21;3.22;3.35;3.36;5.2;5.9;;;;;;;;;;;;;;;;
1;0;0;0;1;Tekniikka;Teknologia;Automaattiohjaus;1.11;5.16;;;;;;;;;;;;;;;;;;;;;;;
1;0;3;2;0;Tekniikka;Teknologia;Elinkaaret (maatalouskone/tiedostoformaatti/automatiikka/ohjelmisto/IoT-laite/IoT-palvelu);1.31;3.5;3.29;3.30;4.24;4.25;;;;;;;;;;;;;;;;;;;
3;0;0;0;2;Tekniikka;Teknologia;KeinoÌ_ly;1.20;1.23;1.24;5.16;5.17;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;Tekniikka;Teknologia;Prototyypit;3.32;;;;;;;;;;;;;;;;;;;;;;;;
1;5;6;1;0;Tekniikka;Teknologia;Sensoriteknologia;1.4;2.10;2.14;2.23;2.31;2.39;3.3;3.22;3.23;3.35;3.36;3.37;4.2;;;;;;;;;;;;
0;1;0;0;0;Tekniikka;Teknologia;SiirrettÌ_vÌ_t muistivÌ_lineet;2.10;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;Tekniikka;Teknologia;Teollinen Ethernet;1.31;;;;;;;;;;;;;;;;;;;;;;;;
7;0;4;0;0;Tekniikka;Teknologia;Teollisuusautomaatio;1.1;1.3;1.4;1.6;1.20;1.25;1.36;3.35;3.37;3.38;3.45;;;;;;;;;;;;;;
0;1;0;0;3;Tekniikka;Teknologiasovellus;Autonomiset traktorit ja muut tyÌ¦koneet;2.31;5.16;5.17;5.19;;;;;;;;;;;;;;;;;;;;;
4;6;3;6;2;Tekniikka;Teknologiasovellus;Datan alustapalvelu/jÌ_rjestelmÌ_;1.9;1.16;1.18;1.30;2.5;2.9;2.32;2.41;2.42;2.43;3.8;3.17;3.18;4.2;4.12;4.20;4.24;4.26;4.27;5.5;5.9;;;;
0;0;2;1;0;Tekniikka;Teknologiasovellus;Sensoriverkot;3.35;3.42;4.2;;;;;;;;;;;;;;;;;;;;;;
0;0;2;0;0;Tekniikka;Teknologiasovellus;SÌ_Ì_asemat;3.20;3.42;;;;;;;;;;;;;;;;;;;;;;;
2;0;5;2;5;Tekniikka;Teknologiasovellus;Telemetria;1.11;1.41;3.12;3.22;3.26;3.27;3.28;4.10;4.11;5.1;5.2;5.3;5.9;5.15;;;;;;;;;;;
3;2;1;1;1;Tekniikka;Teknologioiden omaksunta;Asteittain;1.1;1.3;1.31;2.24;2.26;3.43;4.1;5.15;;;;;;;;;;;;;;;;;
1;3;0;1;0;Tekniikka;Teknologioiden omaksunta;Kynnys;1.29;2.15;2.21;2.23;4.8;;;;;;;;;;;;;;;;;;;;
2;1;6;0;3;Tekniikka;Teknologioiden omaksunta;Laajuus;1.10;1.35;2.21;3.8;3.20;3.21;3.24;3.42;3.43;5.7;5.8;5.14;;;;;;;;;;;;;
11;7;2;1;4;Tekniikka;Teknologioiden omaksunta;Teknologioiden mahdollisuudet hyÌ¦dyt edut;1.7;1.10;1.11;1.12;1.15;1.16;1.17;1.23;1.34;1.44;1.45;2.2;2.16;2.20;2.23;2.25;2.26;2.30;3.24;3.43;4.8;5.2;5.8;5.15;5.16
1;1;0;0;2;Tekniikka;Teknologioiden omaksunta;ViljelijÌ¦iden uusien teknologoiden ymmÌ_rrys-asiantuntemus-taidot;1.3;2.22;5.1;5.2;;;;;;;;;;;;;;;;;;;;;
2;6;0;2;6;Tekniikka;Teknologioiden omaksunta;Yleinen;1.1;1.34;2.9;2.23;2.26;2.34;2.35;2.36;4.1;4.8;5.2;5.7;5.8;5.9;5.14;5.15;;;;;;;;;
4;4;1;1;4;Tekniikka;TietojenkÌ_sittely;Analytiikka;1.20;1.24;1.30;1.39;2.18;2.22;2.31;2.45;3.12;4.2;5.3;5.4;5.9;5.14;;;;;;;;;;;
1;1;0;0;1;Tekniikka;TietojenkÌ_sittely;Analytiikka ViljelijÌ_n Maatilan oma rÌ_Ì_tÌ_lÌ¦ity;1.6;2.4;5.4;;;;;;;;;;;;;;;;;;;;;;
2;0;2;1;2;Tekniikka;TietojenkÌ_sittely;Analytiikkapalvelut;1.20;1.39;3.12;3.17;4.2;5.4;5.9;;;;;;;;;;;;;;;;;;
2;3;1;3;3;Tekniikka;TietojenkÌ_sittely;Datan integraatio;1.20;1.25;2.5;2.14;2.43;3.8;4.1;4.6;4.20;5.3;5.5;5.9;;;;;;;;;;;;;
1;1;0;1;0;Tekniikka;TietojenkÌ_sittely;Datan laatu ja laatuhaasteet;1.25;2.18;4.11;;;;;;;;;;;;;;;;;;;;;;
1;1;1;0;0;Tekniikka;TietojenkÌ_sittely;Datan osto ja myynti;1.16;2.41;3.18;;;;;;;;;;;;;;;;;;;;;;
1;3;1;2;1;Tekniikka;TietojenkÌ_sittely;Datan siirreltÌ_vyys;1.6;2.8;2.13;2.42;3.15;4.5;4.10;5.9;;;;;;;;;;;;;;;;;
0;5;0;2;0;Tekniikka;TietojenkÌ_sittely;Ihminen datan tulkitsijana/pÌ_Ì_tÌ¦ksentekijÌ_nÌ_;2.1;2.3;2.11;2.20;2.40;4.3;4.4;;;;;;;;;;;;;;;;;;
0;2;0;0;0;Tekniikka;TietojenkÌ_sittely;Karttatiedostot;2.14;2.39;;;;;;;;;;;;;;;;;;;;;;;
0;1;1;2;0;Tekniikka;TietojenkÌ_sittely;Karttatiedot Ortomosaiikkikartta;2.14;3.12;4.10;4.11;;;;;;;;;;;;;;;;;;;;;
1;2;0;0;2;Tekniikka;TietojenkÌ_sittely;Koneoppiminen;1.25;2.2;2.4;5.16;5.17;;;;;;;;;;;;;;;;;;;;
0;2;2;0;1;Tekniikka;TietojenkÌ_sittely;Kuvantamisdata;2.14;2.39;3.12;3.15;5.18;;;;;;;;;;;;;;;;;;;;
0;3;0;0;0;Tekniikka;TietojenkÌ_sittely;Mallinnus;2.3;2.4;2.20;;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;Tekniikka;TietojenkÌ_sittely;Metadata;3.7;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;2;Tekniikka;TietojenkÌ_sittely;Paikkatieto;1.37;5.3;5.12;;;;;;;;;;;;;;;;;;;;;;
6;2;1;2;1;Tekniikka;TietojenkÌ_sittely;Pilvipalvelut;1.9;1.12;1.15;1.16;1.26;1.27;2.6;2.7;3.17;4.9;4.24;5.5;;;;;;;;;;;;;
1;0;1;0;0;Tekniikka;TietojenkÌ_sittely;Sadon tunnistetieto (Ruoan identiteetti);1.17;3.39;;;;;;;;;;;;;;;;;;;;;;;
0;2;1;0;0;Tekniikka;TietojenkÌ_sittely;Satelliitti (data/kuvaus);2.13;2.39;3.12;;;;;;;;;;;;;;;;;;;;;;
5;3;2;0;1;Tekniikka;TietojenkÌ_sittely;Sensoridata ja Digitaalinen mitattu tieto;1.6;1.20;1.22;1.25;1.48;2.18;2.31;2.39;3.2;3.35;5.3;;;;;;;;;;;;;;
1;0;0;0;0;Tekniikka;TietojenkÌ_sittely;Systeemiautomaatio;1.24;;;;;;;;;;;;;;;;;;;;;;;;
5;4;3;0;4;Tekniikka;TietojenkÌ_sittely;Tiedon tuottama lisÌ_arvo;1.15;1.16;1.17;1.28;1.33;2.22;2.26;2.27;2.33;3.18;3.19;3.43;5.3;5.4;5.12;5.14;;;;;;;;;
0;0;4;0;0;Tekniikka;TietojenkÌ_sittely;Tiedostoformaatit;3.4;3.5;3.6;3.7;;;;;;;;;;;;;;;;;;;;;
0;0;0;1;0;Tekniikka;TietojenkÌ_sittely;Tietoturva haittaohjelmat;4.23;;;;;;;;;;;;;;;;;;;;;;;;
1;0;1;1;2;Tekniikka;TietojenkÌ_sittely;Tietoturva yleensÌ_;1.32;3.28;4.23;5.4;5.12;;;;;;;;;;;;;;;;;;;;
1;1;0;0;0;Tekniikka;TietojenkÌ_sittely;TyÌ¦tiedostot;1.11;2.38;;;;;;;;;;;;;;;;;;;;;;;
1;1;0;0;1;Tekniikka;TietojenkÌ_sittely;Valmistajien datan kerÌ_ys;1.4;2.12;5.4;;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;Tekniikka;TietojÌ_rjestelmÌ_t;Avoin lÌ_hdekoodi;3.31;;;;;;;;;;;;;;;;;;;;;;;;
3;2;0;2;1;Tekniikka;TietojÌ_rjestelmÌ_t;KÌ_yttÌ_jÌ_ystÌ_vÌ_llisyys-kÌ_ytettÌ_vyys;1.3;1.4;1.34;2.17;2.22;4.11;4.27;5.4;;;;;;;;;;;;;;;;;
0;0;0;0;1;Tekniikka;TietojÌ_rjestelmÌ_t;KÌ_yttÌ¦liittymÌ_ ViljelijÌ_n oma rÌ_Ì_tÌ_lÌ¦ity;5.9;;;;;;;;;;;;;;;;;;;;;;;;
0;3;0;1;3;Tekniikka;TietojÌ_rjestelmÌ_t;KÌ_yttÌ¦liittymÌ_t;2.17;2.22;2.31;4.27;5.1;5.4;5.9;;;;;;;;;;;;;;;;;;
0;2;0;0;3;Tekniikka;TietojÌ_rjestelmÌ_t;MaatilanhallintajÌ_rjestelmÌ_ FMIS;2.13;2.31;5.1;5.3;5.5;;;;;;;;;;;;;;;;;;;;
2;2;2;0;4;Tekniikka;TietojÌ_rjestelmÌ_t;MaatilanhallintajÌ_rjestelmÌ_ FMIS Kokonaisvaltainen;1.1;1.7;2.6;2.31;3.8;3.9;5.3;5.9;5.10;5.18;;;;;;;;;;;;;;;
1;3;0;1;1;Tekniikka;TietojÌ_rjestelmÌ_t;Rajapinnat;1.6;2.7;2.8;2.42;4.12;5.9;;;;;;;;;;;;;;;;;;;
2;4;0;1;3;Tekniikka;TietojÌ_rjestelmÌ_t;Tulevaisuuden tietojÌ_rjestelmÌ_t;1.13;1.20;2.11;2.31;2.41;2.43;4.20;5.16;5.17;5.19;;;;;;;;;;;;;;;
0;1;0;0;0;Tekniikka;TietojÌ_rjestelmÌ_t;ViljelysuositusjÌ_rjestelmÌ_;2.31;;;;;;;;;;;;;;;;;;;;;;;;
0;1;1;4;0;Tekniikka;TietojÌ_rjestelmÌ_t;ViljelysuunnittelujÌ_rjestelmÌ_/ohjelmisto;2.6;3.20;4.2;4.5;4.7;4.9;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;Tekniikka;Tietoliikenne;3G-verkko;1.40;;;;;;;;;;;;;;;;;;;;;;;;
1;0;1;0;1;Tekniikka;Tietoliikenne;5G-verkko;1.39;3.16;5.13;;;;;;;;;;;;;;;;;;;;;;
2;1;3;2;2;Tekniikka;Tietoliikenne;Haasteet;1.37;1.39;2.5;3.15;3.16;3.28;4.9;4.10;5.13;5.19;;;;;;;;;;;;;;;
4;1;5;0;1;Tekniikka;Tietoliikenne;Langaton;1.37;1.38;1.39;1.40;2.10;3.15;3.16;3.26;3.27;3.28;5.13;;;;;;;;;;;;;;
2;0;1;0;0;Tekniikka;Tietoliikenne;Matkapuhelinverkot;1.38;1.39;3.15;;;;;;;;;;;;;;;;;;;;;;
0;0;3;0;0;Tekniikka;Tietoliikenne;SMS-viestit;3.26;3.27;3.28;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;1;Tekniikka;Tietoliikenne;Satelliitti;5.13;;;;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;Tekniikka;Tietoliikenne;Valokuituverkot;3.28;;;;;;;;;;;;;;;;;;;;;;;;
4;1;4;3;2;Tekniikka;Tietoliikenne;Yhteydet/Verkot;1.4;1.37;1.39;1.40;2.5;3.15;3.16;3.27;3.28;4.9;4.10;4.23;5.13;5.19;;;;;;;;;;;
0;1;0;0;2;Tekniikka;Tuotekehitys;AsiakaslÌ_htÌ¦inen tuotekehitys;2.17;5.2;5.15;;;;;;;;;;;;;;;;;;;;;;
2;1;0;1;1;ToimintaympÌ_ristÌ¦;Data;Datan omistajuus;1.6;1.30;2.12;4.9;5.4;;;;;;;;;;;;;;;;;;;;
1;1;0;1;0;ToimintaympÌ_ristÌ¦;Data;Datan/tiedon saatavuus;1.6;2.13;4.9;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;2;ToimintaympÌ_ristÌ¦;Data;Dataperustainen poliittinen pÌ_Ì_tÌ¦ksenteko;5.14;5.15;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;1;0;ToimintaympÌ_ristÌ¦;JÌ_rjestÌ¦;AEF;1.9;4.7;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;ToimintaympÌ_ristÌ¦;JÌ_rjestÌ¦;OADA OpenAG Data Alliance;1.26;;;;;;;;;;;;;;;;;;;;;;;;
1;0;1;0;1;ToimintaympÌ_ristÌ¦;Laitevalmistaja;Laitevalmistajien yhteistyÌ¦;1.14;3.47;5.10;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;ToimintaympÌ_ristÌ¦;Laitevalmistaja;Yhden valmistajan kokonaisratkaisu;1.5;;;;;;;;;;;;;;;;;;;;;;;;
2;0;0;0;0;ToimintaympÌ_ristÌ¦;Laitevalmistaja;Yhden valmistajan suljettu ympÌ_ristÌ¦/Walled garden;1.7;1.15;;;;;;;;;;;;;;;;;;;;;;;
2;0;0;2;0;ToimintaympÌ_ristÌ¦;Laitevalmistaja;Yhteen valmistajaan lukittuminen;1.6;1.7;4.6;4.7;;;;;;;;;;;;;;;;;;;;;
0;2;0;0;0;ToimintaympÌ_ristÌ¦;Maatalous;Erilaiset ratkaisut tilakoon mukaan;2.30;2.37;;;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;ToimintaympÌ_ristÌ¦;Maatalous;Kasvukausi;3.12;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;1;ToimintaympÌ_ristÌ¦;Maatalous;KÌ_yttÌ¦tarpeiden suuri kirjo;1.15;5.2;;;;;;;;;;;;;;;;;;;;;;;
6;2;4;3;2;ToimintaympÌ_ristÌ¦;Maatalous;Maatalouden toiminnan yleiskuva;1.1;1.2;1.7;1.14;1.28;1.29;2.31;2.46;3.1;3.41;3.42;3.43;4.1;4.2;4.20;5.1;5.3;;;;;;;;
4;0;1;3;1;ToimintaympÌ_ristÌ¦;Maatalous;Maatalouden toimintaympÌ_ristÌ¦n hajanaisuus Pirstaleinen kenttÌ_;1.1;1.2;1.9;1.14;3.1;4.1;4.2;4.3;5.19;;;;;;;;;;;;;;;;
0;0;1;0;0;ToimintaympÌ_ristÌ¦;Maatalous;Maatalouskoneiden automatiikan kehitys/historia;3.25;;;;;;;;;;;;;;;;;;;;;;;;
2;1;0;0;1;ToimintaympÌ_ristÌ¦;Maatalous;Maatilojen yksilÌ¦llisyys;1.2;1.8;2.30;5.8;;;;;;;;;;;;;;;;;;;;;
1;1;1;0;1;ToimintaympÌ_ristÌ¦;Maatalous;Ruokaturvan parantaminen;1.47;2.33;3.39;5.14;;;;;;;;;;;;;;;;;;;;;
0;0;0;2;0;ToimintaympÌ_ristÌ¦;Maatalous;Sovelluskirjo;4.13;4.27;;;;;;;;;;;;;;;;;;;;;;;
3;2;2;2;1;ToimintaympÌ_ristÌ¦;Maatalous;Suomalaisen viljely-ympÌ_ristÌ¦n erityispiirteet;1.38;1.40;1.41;2.37;2.46;3.12;3.42;4.21;4.22;5.12;;;;;;;;;;;;;;;
0;0;0;2;1;ToimintaympÌ_ristÌ¦;Maatalous;Teknologioiden Tuotteiden siiloutuneisuus hajanaisuus;4.1;4.2;5.3;;;;;;;;;;;;;;;;;;;;;;
1;1;0;0;0;ToimintaympÌ_ristÌ¦;Maatalous;Tutkimuksen/kehityksen pitkÌ_ aikajÌ_nne;1.33;2.2;;;;;;;;;;;;;;;;;;;;;;;
0;1;0;0;1;ToimintaympÌ_ristÌ¦;Maatalous;ViljelijÌ_-laitevalmistaja yhteistyÌ¦ partneri;2.25;5.2;;;;;;;;;;;;;;;;;;;;;;;
8;1;0;2;6;ToimintaympÌ_ristÌ¦;Muutos;Digitalisaatio;1.1;1.30;1.33;1.34;1.42;1.47;1.48;1.49;2.6;4.1;4.8;5.1;5.12;5.13;5.14;5.15;5.17;;;;;;;;
0;0;2;5;1;ToimintaympÌ_ristÌ¦;Muutos;Digitalisaatio Riskit;3.29;3.30;4.4;4.8;4.23;4.24;4.25;5.12;;;;;;;;;;;;;;;;;
1;1;0;0;0;ToimintaympÌ_ristÌ¦;Muutos;Ilmastonmuutoksen uhat;1.33;2.34;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;1;ToimintaympÌ_ristÌ¦;Muutos;Mobiilisovellukset;5.1;;;;;;;;;;;;;;;;;;;;;;;;
2;3;0;0;0;ToimintaympÌ_ristÌ¦;Muutos;Olosuhteiden vaihtelut/Ilmastonmuutos tilannehallinta;1.33;1.48;2.27;2.28;2.29;;;;;;;;;;;;;;;;;;;;
2;0;0;0;0;ToimintaympÌ_ristÌ¦;Muutos;SiirtymÌ_ datan kÌ_yttÌ¦Ì¦n;1.30;1.33;;;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;4;ToimintaympÌ_ristÌ¦;Muutos;Teknologia-aalto Digitalisaatio Murroskohta;3.43;5.1;5.3;5.13;5.15;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;ToimintaympÌ_ristÌ¦;Muutos;Teknologiaharppaus (leap frog);2.24;;;;;;;;;;;;;;;;;;;;;;;;
2;2;0;2;0;ToimintaympÌ_ristÌ¦;Muutos;Tilakoon kasvu;1.33;1.41;2.30;2.46;4.21;4.22;;;;;;;;;;;;;;;;;;;
1;1;0;0;0;ToimintaympÌ_ristÌ¦;Muutos;TilamÌ_Ì_rÌ_n vÌ_heneminen;1.29;2.30;;;;;;;;;;;;;;;;;;;;;;;
4;0;0;1;0;ToimintaympÌ_ristÌ¦;Muutos;Uudet liiketoimintamallit;1.30;1.34;1.45;1.48;4.26;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;ToimintaympÌ_ristÌ¦;Muutos;Verkostoituminen ja kokemustiedon jako;1.29;;;;;;;;;;;;;;;;;;;;;;;;
